status|||李开复|||【如何应对理想和实际的分歧】1）追逐理想：只要能解决温饱问题，从中得到的享受将超过物质享受；2）先为了现实问题而做不是最爱的工作，把不爱的工作做得足够好，然后用其他时间去追逐理想；3）先为了现实问题而做不是最爱的工作，在解决了吃饭问题后，再去做最爱的工作；4）寻找一个两者的交叉点。
repost|||成高手对与有|||终于有机会让一些平时受骗的人知道开复是个什么货色鸟，嘿嘿。开复是不知道做什么好了吧？乱方寸了吧
repost|||北漂毕加猪|||转发微博
repost|||艺术西安博览会|||//@西安平价艺术节:转发微博
repost|||夕风卿|||转发微博
repost|||手术室程英|||转发微博
repost|||一梦采薇|||转发微博
repost|||Song__愛小方阿力申申OC|||[奥特曼]其实道理谁都懂，就看能不能做到。
repost|||闫思璇3169962152|||。
repost|||燃烧的魏东明|||理想与现实啊
repost|||灵聪2009|||转发微博
repost|||雨人愚人|||转发微博
repost|||老余家的老余|||转发微博
repost|||菲菲_201314|||转发微博
repost|||玎銘|||转发微博
repost|||崔成龙Jackie|||转发微博
repost|||EvLMM|||第四个
repost|||李祥亮可爱多|||转发微博
repost|||慕容在雪山|||转发微博
repost|||辣比头|||转发微博
repost|||远眺遐思|||有道理！！但得首先自己究竟爱做什么工作，能做什么工作，会长久地爱这个工作吗……
repost|||--亮liang--|||说的很对，很好！
repost|||第三年-------|||''
repost|||一个人看海的Harry|||[月亮]
repost|||花恩小姐|||转发微博
repost|||Marcher_man|||转发微博
repost|||caozheng316822|||转发微博
repost|||欧阳杂谈|||转发微博
repost|||慕蓉影寒|||转发微博
repost|||西安平价艺术节|||转发微博
repost|||虎振雄风|||转发微博
repost|||SundayMING|||//@LesChivalry: 转发微博
repost|||LLF雨||| @jing静呼吸 @Mr潮潮 @雷狒狒会飞会灰会追
repost|||yyf51215|||转发微博
repost|||xiaobingbing2007|||回复@薇露琪霜:可能不容易改，相信他的智商，他自己肯定也知道这时候发这个不合适，会被骂，一定是机器的原因，或者他此刻正在做别的更有助于救灾事情 //@薇露琪霜:回复@xiaobingbing2007:他设置的就不能改改不发吗？？
repost|||bzhongyan|||转发微博
repost|||一条上了岸的YU|||good
repost|||Tall十Tall小壮卉GoGoGo|||轉發微博
repost|||小李李小李|||转发微博
repost|||申振宗|||转发微博
repost|||襄米芾祠|||转发微博
repost|||马俑在大学|||好
repost|||A把耳朵叫醒A|||转发微博
repost|||真的很萌很好推哦|||转发微博
repost|||1986LS|||转发微博
repost|||夜沉Devil|||转发微博
repost|||名字好难起Johnson|||mark
repost|||AFX722|||//@lixiaofeihao:转发微博
repost|||明空_sky|||转发微博
repost|||一心向善ZN|||转发微博
repost|||gewang29|||转发微博
repost|||cyu珊|||转发微博
repost|||卡缪203|||转发微博
repost|||雷环bobo|||去雅安了没？//@阿辉飞吧:转发微博
repost|||舜仔D|||转发微博
repost|||蓝色A型|||转发微博
repost|||gzCzs|||转发微博
repost|||看得最远的地方tian||| @揽波_江渚上 加油
repost|||湛江晨鸣-谢发强|||就是快乐生活着
repost|||坚持下去lqy|||转发微博
repost|||小小baby_cri|||把不爱的工作做得足够好
repost|||彩虹美人|||因时而变，因事而制。@宠儿嘉1217 
repost|||洒脱的燕子|||转发微博
repost|||OKOKHAI|||转发微博
repost|||xiaobingbing2007|||回复@hello毛焕:可是他能掌握的讯息或者能调动的捐款确实比他的朋友们少一些，此时无声胜有声！当其他人趁机作秀他选择一言不发 //@hello毛焕:回复@xiaobingbing2007:一个粉丝3000多万的人，影响力不够？
repost|||们们60|||转发微博
repost|||不孤单的旅行者|||转发微博
repost|||青云5112|||转发微博
repost|||Ann安心多福|||转发微博
repost|||温柔野兽_宋_蕊|||走好眼前的每一步，该走的路走好了，才能走想走的路。
repost|||Jenny菜花|||值得思考[给力][给力][给力]
repost|||瑜伽与健康|||…
repost|||高腾BOY|||转发微博
repost|||素颜清修|||尊重内心最真实的感受，顺应内心的需要，让工作不仅仅是谋生的手段。
repost|||涣散瞳孔看浮云|||转发微博
repost|||弃孤单|||这个时候都在关心地震！
repost|||妞TRY-TRY蔡菇凉|||转发微博
repost|||锤子和铁|||转发微博
repost|||a星卓|||转发微博
repost|||潇湘小羿|||转发微博
repost|||JasonLeoHu|||这想法很务实！
repost|||宇宙型男一号|||转发微博
repost|||乐意氧吧|||转发微博。
repost|||在水一方-玲珑璁|||转发微博
repost|||高小豆豆V|||转发微博
repost|||达克斯特|||转发微博
repost|||心相印lee1108|||转发微博
repost|||春雨如斯贵如油|||转发微博
repost|||smile-敏唲|||转发微博
repost|||wuhan616|||转发微博
repost|||欢喜灵儿|||转发微博。
repost|||Nicole520888|||转发微博
repost|||扯扯扯扯什么扯|||转发微博
repost|||Elaine_cassiopeia|||转发微博
repost|||周敏315|||转发微博
repost|||观音庙的A君|||转发微博
repost|||Monica-Pie|||转发微博
repost|||莞尔而笑|||转发微博
repost|||巫和美||| @刘彦夫
repost|||round_yuan|||转发微博
repost|||小杰子的梦|||转发微博
repost|||闲得稍有错乱|||这个时候说这个，你真的不够要脸啊
repost|||手机用户7637438540|||好主意
repost|||五月花拉|||很好
repost|||叶鲁飞|||梦想与现实[good]
repost|||嬛儿陈|||转发微博
repost|||果然_72428|||转发微博
repost|||贺船长|||转发微博
repost|||梨味的果冻|||学习也如此…
repost|||太小帝|||李老板,今天我和领导顶嘴了,我们领导明确要收拾我,你怎么对待和你顶撞的员工[嘻嘻][嘻嘻][嘻嘻]
repost|||伪小孩-x|||转发微博
repost|||完美辉煌2013|||转发微博
repost|||赌徒壹号|||转发微博
repost|||手机用户3313894981|||祈福雅安
repost|||蔡一的微薄|||转发微博
repost|||小王笑笑|||转发微博
repost|||冰清菠萝|||转发微博
repost|||刘尚杰-ShangjieLiu|||学习了
repost|||想旅行jane|||恩 说的对
repost|||小豪飘在江湖|||转发微博
repost|||小明小林|||转发微博
repost|||繁盛行者|||转发微博
repost|||禹DD|||转发微博
repost|||无间假圣|||转发微博
repost|||刘延鸿_多吉卓玛|||转发微博
repost|||WK-wiking|||转发微博
repost|||Q哥哥啊|||转发微博
repost|||很想成为你的唯一|||理想和现实差距太大
repost|||右手叱枪|||转发微博
repost|||武体运训11级三部|||转发微博
repost|||路虽长用脚量|||转发微博
repost|||纯白色kk|||有哲理
repost|||一路啸笑|||转发微博
repost|||一米阳光3135701195|||转发微博
repost|||宫兆辉1|||[呵呵]
repost|||吃饭为了活着|||精神追求与物质追求
repost|||孤独的凝望|||转发微博
repost|||杨稳建-2013|||说得轻松，1234条条都是泪啊！
repost|||tomorrow安|||转发微博
repost|||梅落留香001||| @super曲江龙-kimi @
repost|||呐个村儿滴呐个闺女|||转发微博。
repost|||艺术9112_3od|||转发微博
repost|||2013龚鑫好运连连|||转发微博。
repost|||戴陌陌lx|||转发微博
repost|||约翰尼德凡|||的确这么想～
repost|||cynthiazhaojing|||转发微博
repost|||烟花落墨|||转发微博
repost|||柯南的弟子||| @高小煥
repost|||-MayQueen-|||转发微博
repost|||芝麻_小事儿|||现实的无奈
repost|||施斌_Miracle|||转发微博
repost|||锦州青-苹-果英语学校|||转发微博
repost|||网球课|||话说得好，不如做得好
repost|||归根曰静|||转发微博
repost|||伟盛____|||转发微博
repost|||小熊为枭|||[good]
repost|||培宇英青|||说的不错啊。。。
repost|||纪念这一季|||转发微博
repost|||Wenyu_2822|||转发微博。
repost|||木之本大头|||转发微博
repost|||暖洋洋的红枣MM|||转发微博
repost|||一个简单的人712|||转发微博
repost|||吖殇就是郭日明|||转发微博
repost|||小松鼠喜多鹿鹿|||有理
repost|||国宇朵唯李得胜|||转发微博
repost|||万义康要有理想|||很有实践价值，谢谢开复老师分享
repost|||冰铃北极熊|||转发微博
repost|||余小鱼1991|||这个问题也困扰我很久，不过我想明白了
repost|||爱乐奭|||[给力]
repost|||I_________believe|||转发微博
repost|||lovely绿野|||转发微博
repost|||迷茫的A_Nin|||转发微博
repost|||hoho-tney|||@一种香气 
repost|||sunshinezjl|||转发微博
repost|||PUFFGG|||转发微博
repost|||linglingde快乐|||转发微博
repost|||无力317|||转发微博
repost|||缘始若冰|||转发微博
repost|||kelvin刘祥|||@韩克莱
repost|||Zoey_ZL|||转发微博
repost|||风茹雪|||转发微博
repost|||安颜苒晓曦|||转发微博
repost|||T言_西_早|||现实与追求！
repost|||此时此地歌尽桃花|||//@fre碗da: 转发微博
repost|||Elisa赵|||转发微博
repost|||开心果-88|||转发微博
repost|||218405游槟玮|||转发微博
repost|||楊傳哲|||转发微博
repost|||Consultant-Paul|||转发微博
repost|||稻泉|||Repost
repost|||lollipop湖大|||转发微博
repost|||造饮|||转发博文
repost|||璐璐同学回来啦|||转发微博。
repost|||wlh蔷薇|||转发微博
repost|||阳光故道|||@天涯客小诚哥 @天涯客小诺
repost|||l装在套子里的人l|||[赞]
repost|||白T__Show极致时尚|||理想与现实。
repost|||么事别来烦我|||转发微博
repost|||小燕子的角落|||转发微博
